"","comp 1","comp 2"
"(E,E)-alpha-Farnesene",0.736201834857821,0.527211770527432
"1-Hexanol, 2-ethyl-",0.880180318483505,1.17130687830643
"1-Methylnaphthalene",1.53755170298066,1.10414144521974
"1,4-Dimethylnaphthalene",1.59041706479768,1.12824710862446
"1,5-Heptadiene, 2,6-dimethyl",1.03844808208396,0.916949722018359
"1(3H)-Isobenzofuranone",1.43828076324179,1.02408856682822
"2-Buten-1-ol, 2-methyl-",0.673568739052841,1.16587721781616
"2-Butenal, 3-methyl-",0.427918585551606,1.15634877511325
"2-Furanmethanol",1.00816037712813,0.721650792858763
"2-Hexene, 3,5-dimethyl",1.5004773984615,1.12530918999485
"2-Pentenal, (E)-",0.698259011535604,1.16471514985383
"2-Pyrrolidinone, 1-methyl-",1.04212314133928,0.843137622756221
"2,3-Octandione",0.0783490788748653,0.56242633293932
"2,6-Dichloroacetophenone",1.62427112159488,1.15121916544276
"2(5H)-Furanone",0.742228423861829,0.756411835648104
"2H-Pyran-2-one, tetrahydro-",1.46457967582473,1.11857947507044
"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-",0.980064131312951,0.694629060653479
"3-Furaldehyde",0.830695969714538,0.593234743910032
"3-Heptanone",0.807685693203267,0.820421717058495
"3-Octene, (Z)-",0.904159267360291,0.955074737347216
"3-Penten-2-one, 4-methyl-",0.683710615690246,0.646576383541829
"Acetophenone",0.363441787451277,0.785771026524931
"Acetylfuran<2->",1.31945440571981,1.37404863421371
"Amorphene<alpha->",1.08281894014332,0.806240223811926
"Benzaldehyde",1.22095381814981,0.969940259264852
"Benzaldehyde, 2,4-dichloro",1.50378462475241,1.09726479111848
"Benzene",0.677878032521223,0.870374292479786
"Benzene acetaldehyde",1.57589730108653,1.12018310947077
"Benzene, 1-ethyl-2-methyl-",1.50082728459832,1.08100879043828
"Benzene, 1-ethyl-3-methyl-",1.33362879613492,0.992518166853356
"Benzene, 1-ethyl-4-methyl-",1.41400601965975,1.1573675601444
"Benzeneacetonitrile",0.401792398711974,0.298856777357308
"Benzenemethanol, alpha,alpha-dimethyl-",0.155049811537411,0.829881832070079
"Benzofuran, 2,3-dihydro-",0.788984053891049,0.960921797845988
"Benzothiazole",1.61909996298127,1.14866921999743
"Benzyl alcohol",1.25206011714019,0.951235366861047
"Biphenyl",1.65956348905946,1.17585838550546
"Bournonene<beta->",1.35071695050051,1.32908286574035
"Butanoic acid",0.398773519581681,0.964339146122093
"Cadalene",0.629388863328537,0.460899536891215
"Cadinene<delta->",0.755185015195986,0.854098727934564
"Cadinene<gamma->",0.413604647451966,1.44880345713963
"Cadinol<alpha->",0.105794471592263,0.36536290343166
"Cadinol<epi-alpha-> (=tau-cadinol)",0.900357817700162,1.58297730065815
"Calacorene<alpha->",0.787173101395809,0.915408404013348
"Calamenene<cis->",1.12705723822743,0.899406699063183
"Carene<delta-3->",1.00266110515372,0.722892573467847
"Carvone",1.13107718688254,0.845587312439793
"Caryophyllene<E->",1.4533209175675,1.05493087142284
"Cedrol",0.669720085608982,0.797492409772791
"Coumarin",0.464572027182051,0.334852093494042
"Cresol<meta->",0.97368520371059,1.24232988207074
"Cyclohexanone",1.36927178210041,0.98886479318289
"Cymene<para->",0.461862268578725,1.02732405903621
"Cymenene<para->",0.707295021773102,1.21857476172103
"Decalactone<gamma->",0.720681443379265,1.33033444099268
"Decanal<N->",1.3020428150131,0.925292980944046
"Decanoic acid",0.527493363735894,0.640120770492904
"Dibenzofuran",1.52417744039205,1.08586758450414
"Dihydroactiniolide",1.21020910067836,1.02139196271332
"Docosane",1.22789501880187,1.2146241567598
"Dodecane",1.02710902263063,0.88636635403839
"Dodecanoic acid",1.18691883033439,1.13185571792069
"Dodecanol<N->",0.798446759788992,0.848819657559982
"Ethyl hexanoic acid<2->",1.26881070564966,1.42980761970317
"Ethyl hexyl acetate<2->",0.916568509312297,1.37129081145956
"Ethylbenzene",1.01661476225212,0.756490137742544
"Fluorene",1.30070152854197,1.0777663447088
"Fokienol",1.36764147573107,1.06693342920398
"Furfural",0.560967801244346,0.574364246716951
"Furfural<5-methyl->",0.820148889029346,1.14766902782104
"Geranyl acetone",1.13670560943048,0.90012812261823
"Heneicosane",0.393283322887515,1.07321587450591
"Heptadecane (C17)",0.706424637398826,1.27198403492631
"Heptan-2-ol<6-methyl->",0.92697100714863,1.09393091351812
"Heptanal",0.381770178258075,0.955686034967292
"Heptane, 3-methylene-",1.49956289473237,1.09975296665047
"Heptanoic acid",0.583553617152337,0.624521160862739
"Heptanone<2->",1.08189817921628,0.813589425288006
"Hepten-2-one<6-methyl-5->",0.208969375446748,1.23992052873471
"Hexadecane (C16)",0.495209318751562,0.812698804186018
"Hexadecanol<N->",1.33537954380923,1.31580326449515
"Hexalactone<gamma->",1.35676044353614,1.26935263330658
"Hexanal",1.16261669650272,0.927543873703546
"Hexanoic acid",0.116962745919906,1.02772099863192
"Hexanol<N->",0.0634541187283697,0.80588510569771
"Hexenal<2E->",1.26764062031169,1.44629221122393
"Hexenol<3Z->",0.708793118762323,0.63744882740904
"Hexenyl acetate<3Z->",1.17731017861071,0.8898718054016
"Hexenyl benzoate<2E->",1.60635588728647,1.16522769849938
"Hexenyl hexenoate<3Z->",0.876907369629561,0.962261210429521
"Hydroxybutanoic acid lactone<4->",0.852535825327576,0.827119778131399
"Indane",0.887826503888391,1.1772243040926
"Indole",0.339103636600923,0.898998352309089
"Isophorone",1.54280264383285,1.10804831631598
"Isophorone<4-keto->",1.27503442892185,0.945499911404115
"Isopropyl hexadecanoate",1.14924012851597,1.07712980533321
"Isopropyl tetradecanoate",0.554892331054511,1.50002639922861
"Isoquinoline",0.366404963232732,0.424174766065019
"Isoquinoline, 1-methyl-",0.484220666494481,0.790174354540571
"Isovaleric acid",1.05967111000691,0.830723734003128
"Jasmone<Z->",0.0185166073558466,1.27979923587773
"Lavender Lactone",1.14860133445257,0.834656192455329
"Limonene",0.244739683489792,0.737428982673694
"Linalool oxide<dehydroxy-cis->",0.894540460836202,0.657751380324529
"Linalool oxide<dehydroxy-trans->",0.735626390475936,0.699581431737105
"m-xylene",1.21044140495986,0.982011590357927
"Menthol",1.36854388606557,0.971839660994472
"Mesitylene",0.513377564296731,0.727836536417363
"Methenamine",0.439573224821473,0.609757402190599
"Methyl biphenyl<4->",1.58311174030611,1.12516533807757
"Methyl hexadecanoate",0.51294315448006,0.567750972580689
"Methyl jasmonate<Z->",0.466605277863029,1.13770086944772
"Methyl salicylate",0.732544618060715,0.575353721411439
"Muurolene<alpha->",0.78921174690513,0.946663699660517
"Naphthalene",1.27739724741348,1.03655019878112
"Naphthalene, 1,3-dimethyl",1.62530297367231,1.175432446874
"Naphthalene, 2-methyl-",1.4755192199594,1.11065709798077
"Nonadecane (C19)",0.193724547511515,1.85394764243637
"Nonanal<N->",1.26079970228952,0.954752404295846
"Nonanoic acid",0.384178859304404,0.925401374481383
"o-Xylene",1.1278802179308,0.973892273924545
"Octadecane (C18)",0.90933404872202,1.25517171061504
"Octadecanol<N->",1.11263290831386,0.870473756611078
"Octanal<N->",0.800299346741022,0.925853930656292
"Octanoic acid",0.0110605745803521,0.92213767549002
"Octen-3-ol<1->",1.18070623543623,1.26275277489222
"Octen-3-one<1->",0.335860141905108,0.616774236656969
"p-xylene",1.1663585256728,1.0051059351726
"Pentacosane",0.0994085572386186,1.21806597970103
"Pentadecane",0.92694196221161,0.86058170739335
"Pentanoic acid",0.143754782990794,0.605630548069427
"Phenol",1.50979772698069,1.09492881250954
"Phenol, 2,5-bis(1,1-dimethylethyl)-",0.805912419985556,1.8239313950378
"Phenyl ethyl alcohol",0.392898213929909,0.865704542016016
"Pinene<alpha->",0.812885164260518,0.78518338467542
"Pyridine",0.904980525380424,0.69639820242413
"Quinoline",0.875171443652958,0.647468816301509
"Quinoline, 5-methyl-",0.284113765063714,0.320103241753881
"Styrene",0.87228723614857,0.726807016459858
"Terpinene<gamma->",0.635551303097143,1.03724199906978
"Terpineol<alpha->",0.587507904372911,0.534247873225913
"Tetradecane (C14)",1.27708483559655,0.98769484568405
"Tiglic aldehyde",0.4708856316441,1.13358012586534
"Toluene",1.34090428024318,1.17132679248247
"Tricosane",0.0597361763719432,0.909796636506163
"Tridecane",1.05842612055664,0.781115507376203
"Trimethyl benzene<1,2,4->",1.40157064114141,1.14070995789061
"Undecane<N->",0.697296074593058,0.98789544924417
